name,district,type,address
馨宁公寓,徐汇区,公共租赁住房,华发路406弄
馨越公寓,普陀区,公共租赁住房,千阳南路99弄
馨逸公寓（一期）,徐汇区,公共租赁住房,宾南路36弄
馨逸公寓（二期）,徐汇区,公共租赁住房,宾南路36弄
馨古美佳苑,闵行区,公共租赁住房,古美路500弄
地产南站收购项目,徐汇区,公共租赁住房,"虹梅南路96弄、老沪闵路333弄、150弄等"
耀华滨江公寓（一期）,浦东新区,公共租赁住房,耀元路245弄
耀华滨江公寓（二期）,浦东新区,公共租赁住房,耀元路228弄
馨澜公寓,浦东新区,公共租赁住房,民生路318弄
新江湾尚景园,杨浦区,公共租赁住房,国权北路1450号
上海晶城晶华坊,闵行区,公共租赁住房,朱梅路266弄
君莲慧馨苑,闵行区,公共租赁住房,金都路2239弄
虹乐苑,虹口区,公共租赁住房,广粤路76弄1号801室等
禧瑞怡庭,闵行区,公共租赁住房,华漕镇徐亭路35弄
禧瑞铭庭,闵行区,公共租赁住房,华漕镇徐亭路36弄
前湾雅苑,闵行区,公共租赁住房,华漕镇金辉路1061弄
恒基旭辉,闵行区,公共租赁住房,新虹街道申贵路1799弄
旭辉识庐,闵行区,公共租赁住房,虹桥镇红松路81弄169支弄
古美名邸,闵行区,公共租赁住房,七宝镇古龙路1555弄
大虹桥国际公馆,闵行区,公共租赁住房,莘庄镇秀涟路111弄
金辉天萃苑,闵行区,公共租赁住房,莘庄镇莘朱路698弄
上陇新村,闵行区,公共租赁住房,梅陇镇上中西路738弄
中海寰宇天下,闵行区,公共租赁住房,梅陇镇银都路2188弄
天悦雅园,闵行区,公共租赁住房,梅陇镇春申路2333弄
鑫都城宝铭苑,闵行区,公共租赁住房,莘庄工业区瓶安路1600弄
翔泰苑,闵行区,公共租赁住房,颛桥镇鹤翔路180弄
华发四季半岛,闵行区,公共租赁住房,颛桥镇鑫都路2288弄
绿地璀璨天城,闵行区,公共租赁住房,马桥镇富国路355弄
禹洲府,闵行区,公共租赁住房,马桥镇富国路199弄
卓越维港,闵行区,公共租赁住房,马桥镇富岩路60弄
保利雅苑,闵行区,公共租赁住房,马桥镇银秋路1351弄
悦和雅苑,闵行区,公共租赁住房,马桥镇骏祥路299弄
隐秀云邸,闵行区,公共租赁住房,马桥镇曙光路1500号
联仲都悦汇,闵行区,公共租赁住房,马桥镇中富路188弄
万科紫虹新苑,闵行区,公共租赁住房,吴泾镇紫龙路200弄
海赋尚品,闵行区,公共租赁住房,江川街道瑞丽路918弄
满庭春雅苑,闵行区,公共租赁住房,江川街道沧源路588弄
旭辉都会名庭,闵行区,公共租赁住房,浦江镇永跃路208弄
双湾景园,闵行区,公共租赁住房,浦江镇永跃路215弄
永康城浦上雅苑,闵行区,公共租赁住房,浦江镇新港河路385弄
锦上名苑,闵行区,公共租赁住房,浦锦街道北江洲路280弄
满香苑,闵行区,公共租赁住房,浦锦街道江龙路446弄
浦江一品漫城,闵行区,公共租赁住房,浦锦街道芦恒路378弄
屿果公寓上海松江醉白池店西区,松江区,保障性租赁住房,永丰街道永隆路333弄
中建幸孚+公寓松江店,松江区,保障性租赁住房,中山街道施园路299弄
屿果公寓上海松江醉白池店东区,松江区,保障性租赁住房,永丰街道永隆路255弄
上海龙湖冠寓松江大学城店,松江区,保障性租赁住房,经开区文翔路3788弄
派米雷link新界（车墩）未来社区,松江区,保障性租赁住房,车墩镇迎轩路41弄
柚米寓九亭中心店,松江区,保障性租赁住房,九里亭街道沪亭北路199弄8号
派米雷LINK新界(泗泾)未来社区,松江区,保障性租赁住房,泗泾镇米易路45弄
华润置地有巢国际公寓社区东部经开店,松江区,保障性租赁住房,经开区书林路600弄
中电·闲猫国际青年社区,松江区,保障性租赁住房,经开区文松路333弄
合寓社区,松江区,保障性租赁住房,泗泾镇莘砖公路1108号7幢
柚米寓（九亭纯真中心店）,松江区,保障性租赁住房,九亭镇蒲汇路178弄6号
华润置地有巢国际公寓泗泾店,松江区,保障性租赁住房,泗泾镇米易路216弄
世茂·闲猫国际青年社区,松江区,保障性租赁住房,中山街道五昆路88弄2号
喜富公寓,松江区,保障性租赁住房,泗泾镇高技路205弄
沁尚茗寓,松江区,保障性租赁住房,经开区书林路670弄
城璟松江中山社区,松江区,保障性租赁住房,中山街道茸梅路855弄1-4号
上海松江西部科技园柚米社区,松江区,保障性租赁住房,经开区文俊东路99弄
久盛公寓,松江区,保障性租赁住房,九亭镇盛龙路831弄1-2号
欣平苑,浦东新区,共有产权保障住房,德泉路386弄
民乐城惠桐苑,浦东新区,共有产权保障住房,听民路263弄
民乐城秋和苑,浦东新区,共有产权保障住房,拱鸣路95弄
亚通聚秀苑,浦东新区,共有产权保障住房,长庚路289弄
金海华城桐和佳苑,浦东新区,共有产权保障住房,霞玉路80弄
民乐城玉秀苑,浦东新区,共有产权保障住房,惠南镇拱荣路115弄、175弄
民乐城海恒苑,浦东新区,共有产权保障住房,惠南镇拱乐路2200弄
贤青雅苑,浦东新区,共有产权保障住房,德泉路305弄
罗店新村宝欣苑-1,宝山区,共有产权保障住房,美平路999弄
汇枫景苑,宝山区,共有产权保障住房,祁华路300弄
宝晟苑,宝山区,共有产权保障住房,沪联路1487弄
旭景苑,宝山区,共有产权保障住房,天仁路25弄
馨尚佳苑,宝山区,共有产权保障住房,广福村路325弄
馨慈佳苑,宝山区,共有产权保障住房,广福村路318弄
新顾城博成苑,宝山区,共有产权保障住房,宝正路57弄
新顾城云成苑,宝山区,共有产权保障住房,言观路458弄
水畔兰庭,宝山区,共有产权保障住房,言迈路219弄
尚北雅苑,宝山区,共有产权保障住房,言观路388弄
欣康苑,宝山区,共有产权保障住房,沪联路1627弄
晶采坊,闵行区,共有产权保障住房,业祥路111弄
银香苑,闵行区,共有产权保障住房,务本路330弄
中冶锦苑,闵行区,共有产权保障住房,陇都路51弄
晶秀坊,闵行区,共有产权保障住房,秀景路136弄
浦江瑞和城（09-06地块）,闵行区,共有产权保障住房,鲁康路15弄
浦江瑞和城（03-02地块）,闵行区,共有产权保障住房,汇舒路54弄
丁香苑,松江区,共有产权保障住房,泗泾镇城置路282弄
仁育苑,松江区,共有产权保障住房,泗泾镇泗滨路666弄
松南城舒雅苑,松江区,共有产权保障住房,车墩镇车阳路77弄
松南城尚雅苑,松江区,共有产权保障住房,车墩镇车阳路177弄
松南城翠和苑,松江区,共有产权保障住房,茶坛路611弄
