district,income_yuan,metric_name,source_doc,source_url,status
黄浦区,,居民人均可支配收入,2024年黄浦区国民经济和社会发展统计公报,https://tjgb.hongheiku.com/xjtjgb/xj2020/63520.html,未公布
徐汇区,,居民人均可支配收入,2024年徐汇区国民经济和社会发展统计公报,https://www.xuhui.gov.cn/static/upload/202603/0317_165033_122.pdf,未公布
长宁区,,居民人均可支配收入,2024年长宁区国民经济和社会发展统计公报,https://zwgk.shcn.gov.cn/xxgk/tjxx-tjjzdgz/2025/148/77786.html,未公布
静安区,,居民人均可支配收入,2024年静安区国民经济和社会发展统计公报,https://www.jingan.gov.cn/main/9bfd101f-4ee5-46cb-b763-c8975c9b479f/0aca5f23-f32a-4256-a610-acd38efe6062/2024%E5%B9%B4%E9%9D%99%E5%AE%89%E5%8C%BA%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,未公布
普陀区,,居民人均可支配收入,2024年普陀区国民经济和社会发展统计公报,https://www.shpt.gov.cn/zhengwu/tjgb-tjjzdgz/2025/87/195582/0284ac15f1fb44b7945d353879821de3.pdf,未公布
虹口区,,居民人均可支配收入,2024年虹口区国民经济和社会发展统计公报,https://tjgb.hongheiku.com/xjtjgb/xj2020/64555.html,未公布
杨浦区,,居民人均可支配收入,2024年杨浦区国民经济和社会发展统计公报,https://www.shyp.gov.cn/zhengwu/qfb-fzjhbg/2025/220/a6faf89a9afe9a34d43bc2eafbf94924/c8b423944eb740b2877714ab812819fc.pdf,未公布
闵行区,92662,居民人均可支配收入,2024年闵行区国民经济和社会发展统计公报,https://tjgb.hongheiku.com/xjtjgb/xj2020/59894.html,官方
宝山区,88642,居民人均可支配收入,2024年宝山区国民经济和社会发展统计公报,http://xxgk.shbsq.gov.cn/article.html?infoid=06720ef6-03ce-44da-9aee-e885b86df026,官方
嘉定区,75718,居民人均可支配收入,关于上海市嘉定区2024年国民经济和社会发展计划执行情况与2025年国民经济和社会发展计划(草案)的报告,http://renda.jiading.cn/gzzl/qrdh/qqjrdlchy/content_919219,官方
浦东新区,95176,居民人均可支配收入,2024年上海市浦东新区国民经济和社会发展统计公报,https://www.pudong.gov.cn/zwgk/tjj_gkml_ywl_tjsj_gb/2025/108/340197.html,官方
金山区,60240,居民人均可支配收入,金山区政府互动回复(官方口径),https://www.jinshan.gov.cn/hudong/consult/library/detail/6257fe7c38114715bdc5d2f7372859e6,官方
松江区,74440,居民人均可支配收入,2024年上海市松江区国民经济和社会发展统计公报,https://www.songjiang.gov.cn/shsj_main/509726da-eff9-411a-89df-4132c91951a5/e8809a1c-49ad-480e-82b3-e9b878c796e3/2024%E5%B9%B4%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%9D%BE%E6%B1%9F%E5%8C%BA%E5%9B%BD%E6%B0%91%E7%BB%8F%E6%B5%8E%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,官方
青浦区,67465,居民人均可支配收入,2024年青浦区国民经济和社会发展统计公报,https://tjgb.hongheiku.com/xjtjgb/xj2020/58288.html,官方
奉贤区,62234,居民人均可支配收入,二〇二四年上海市奉贤区国民经济和社会发展统计公报,https://www.fengxian.gov.cn/tjj/tjsj/tjgb/20250418/87676/b13b6b93adb34b878a33dfe4ebe26fc7.pdf,官方
崇明区,54195,居民人均可支配收入,2024年上海市崇明区国民经济和社会发展统计公报,https://www.shcm.gov.cn/shcm/a1295485-b1b6-4f5d-9d19-41e31c9328cd/db54cb4c-26fc-4535-9e82-7865199fcd36/2024%E5%B9%B4%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B4%87%E6%98%8E%E5%8C%BA%E5%9B%BD%E6%B0%91%E7%BB%8F%E6%B5%8E%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,官方
