line,off_peak_headway_min,source,note
1号线,5.0,shmetro.com (官方时刻表),
2号线,5.0,shmetro.com (官方时刻表),
3号线,8.0,shmetro.com (官方时刻表),
4号线,8.0,shmetro.com (官方时刻表),inner+outer circle
5号线,6.0,shmetro.com (官方时刻表),trunk Xinzhuang-Dongchuan; branches 12
6号线,6.5,shmetro.com (官方时刻表),
7号线,7.0,shmetro.com (官方时刻表),
8号线,8.7,shmetro.com (官方时刻表),base full-line (8m40s); central short-turn segment 4m20s
9号线,6.0,shmetro.com (官方时刻表),
10号线,6.0,shmetro.com (官方时刻表),"trunk; Hangzhong branch 12, central core 3"
11号线,6.0,shmetro.com (官方时刻表),trunk; 嘉定/花桥 branches 12
12号线,7.0,shmetro.com (官方时刻表),
13号线,7.0,shmetro.com (官方时刻表),
14号线,8.5,shmetro.com (官方时刻表),
15号线,8.0,shmetro.com (官方时刻表),
16号线,7.0,shmetro.com (官方时刻表),
17号线,10.0,shmetro.com (官方时刻表),
18号线,8.0,shmetro.com (官方时刻表),
