line,seq,station,lat,lng,n_lines
8,0,沈杜公路,31.0634575,121.5079846,1
8,1,联航路,31.0756658,121.5062777,1
8,2,江月路,31.0863432,121.504283,1
8,3,浦江镇,31.0986256,121.5019553,1
8,4,芦恒路,31.1202197,121.4938452,1
8,5,凌兆新村,31.1432582,121.4848668,1
8,6,东方体育中心,31.155438133333334,121.47597863333333,3
8,7,杨思,31.1630048,121.4890354,1
8,8,成山路,31.1731197,121.49222094999999,2
8,9,耀华路,31.1806038,121.4904472,2
8,10,中华艺术宫,31.1871027,121.4894217,1
8,11,西藏南路,31.203618400000003,121.4848749,2
8,12,陆家浜路,31.21385255,121.48131384999999,2
8,13,老西门,31.220863450000003,121.47875289999999,2
8,14,大世界,31.228918049999997,121.4750564,2
8,15,人民广场,31.234641566666667,121.47043576666668,3
8,16,曲阜路,31.2442942,121.4671223,2
8,17,中兴路,31.2550951,121.4643732,1
8,18,西藏北路,31.2655487,121.4645981,1
8,19,虹口足球场,31.2722001,121.47475685,2
8,20,曲阳路,31.2785073,121.485791,1
8,21,四平路,31.2768302,121.49706019999999,2
8,22,鞍山新村,31.2752152,121.5051665,1
8,23,江浦路,31.2765208,121.5143922,2
8,24,黄兴路,31.2809389,121.5241046,1
8,25,延吉中路,31.290732,121.530645,1
8,26,黄兴公园,31.2978687,121.5288453,1
8,27,翔殷路,31.3071134,121.5276104,1
8,28,嫩江路,31.3167567,121.5275679,1
8,29,市光路,31.3247945,121.5276595,1
3,0,江杨北路,31.4095962,121.435939,1
3,1,铁力路,31.410105,121.4576264,1
3,2,友谊路,31.4053452,121.4715994,1
3,3,宝杨路,31.3966293,121.4753041,1
3,4,水产路,31.3827275,121.484011,1
3,5,淞滨路,31.3724622,121.4884743,1
3,6,张华浜,31.3594153,121.4944348,1
3,7,淞发路,31.3466275,121.495606,1
3,8,长江南路,31.3337097,121.48610735,2
3,9,殷高西路,31.3213309,121.4804198,1
3,10,江湾镇,31.3068183,121.4805201,1
3,11,大柏树,31.2907322,121.4785908,1
3,12,赤峰路,31.2824973,121.4778472,1
3,13,虹口足球场,31.2722001,121.47475685,2
3,14,东宝兴路,31.2612062,121.4757568,1
3,15,宝山路,31.25343025,121.4718186,2
3,16,上海火车站,31.2508215,121.45252913333333,3
3,17,中潭路,31.256437249999998,121.4364132,2
3,18,镇坪路,31.24826416666667,121.42583306666667,3
3,19,曹杨路,31.241051900000002,121.413871975,4
3,20,金沙江路,31.233768499999996,121.40815479999999,3
3,21,中山公园,31.219854566666665,121.4113067,3
3,22,延安西路,31.21141475,121.41243499999999,2
3,23,虹桥路,31.1990745,121.41661113333333,3
3,24,宜山路,31.188095175,121.4227051,3
3,25,漕溪路,31.1781746,121.4344163,1
3,26,龙漕路,31.171376449999997,121.43945585,2
3,27,石龙路,31.1596248,121.4378879,1
3,28,上海南站,31.156812033333335,121.42572306666666,3
4,0,宜山路,31.188095175,121.4227051,3
4,1,虹桥路,31.1990745,121.41661113333333,3
4,2,延安西路,31.21141475,121.41243499999999,2
4,3,中山公园,31.219854566666665,121.4113067,3
4,4,金沙江路,31.233768499999996,121.40815479999999,3
4,5,曹杨路,31.241051900000002,121.413871975,4
4,6,镇坪路,31.24826416666667,121.42583306666667,3
4,7,中潭路,31.256437249999998,121.4364132,2
4,8,上海火车站,31.2508215,121.45252913333333,3
4,9,宝山路,31.25343025,121.4718186,2
4,10,海伦路,31.261018399999998,121.48484825,2
4,11,临平路,31.2628771,121.4962554,1
4,12,大连路,31.259703299999998,121.50875625,2
4,13,杨树浦路,31.2536209,121.5127562,1
4,14,浦东大道,31.241984700000003,121.515041,2
4,15,世纪大道,31.230755425,121.522746,4
4,16,向城路,31.2243582,121.527867,1
4,17,蓝村路,31.21405705,121.52378215,2
4,18,塘桥,31.2119596,121.5143251,1
4,19,南浦大桥,31.2104442,121.4950777,1
4,20,西藏南路,31.203618400000003,121.4848749,2
4,21,鲁班路,31.2011258,121.4706402,1
4,22,大木桥路,31.196053749999997,121.45912605000001,2
4,23,东安路,31.19257335,121.45028495,2
4,24,上海体育场,31.1874075,121.4391017,1
4,25,上海体育馆,31.18431665,121.43230575,2
4,26,宜山路,31.188095175,121.4227051,3
10,0,虹桥火车站,31.19604513333333,121.31358713333333,3
10,1,虹桥2号航站楼,31.19630585,121.3217049,2
10,2,虹桥1号航站楼,31.1932991,121.3433442,1
10,3,上海动物园,31.1920777,121.3634113,1
10,4,龙溪路,31.1964058,121.375864,1
10,5,水城路,31.2012235,121.3876161,1
10,6,伊犁路,31.2010859,121.3980124,1
10,7,宋园路,31.1983218,121.4078985,1
10,8,虹桥路,31.1990745,121.41661113333333,3
10,9,交通大学,31.2040778,121.43058945,2
10,10,上海图书馆,31.2099274,121.439814,1
10,11,陕西南路,31.217837666666668,121.454672,3
10,12,一大会址·新天地,31.21801765,121.4698958,2
10,13,老西门,31.220863450000003,121.47875289999999,2
10,14,豫园,31.2307169,121.48356045,2
10,15,南京东路,31.2397044,121.4796993,2
10,16,天潼路,31.24576135,121.47790169999999,2
10,17,四川北路,31.2537048,121.479494,1
10,18,海伦路,31.261018399999998,121.48484825,2
10,19,邮电新村,31.270398,121.489829,1
10,20,四平路,31.2768302,121.49706019999999,2
10,21,同济大学,31.2844081,121.5020918,1
10,22,国权路,31.2912691,121.50625635,2
10,23,五角场,31.2997294,121.5100904,1
10,24,江湾体育场,31.3050616,121.5100008,1
10,25,三门路,31.3153133,121.5039507,1
10,26,殷高东路,31.3237994,121.5024607,1
10,27,新江湾城,31.330778,121.5023788,1
10,28,国帆路,31.3421434,121.5090692,1
10,29,双江路,31.3555233,121.5357924,1
10,30,高桥西,31.3535934,121.5456471,1
10,31,高桥,31.3547748,121.5594061,1
10,32,港城路,31.3552629,121.5707025,2
10,33,基隆路,31.353188,121.5866076,1
1,0,富锦路,31.3933626,121.4200409,1
1,1,友谊西路,31.3822507,121.4234632,1
1,2,宝安公路,31.3706177,121.4264168,1
1,3,共富新村,31.3561191,121.4294836,1
1,4,呼兰路,31.34115975,121.43235835,2
1,5,通河新村,31.3324328,121.4370701,1
1,6,共康路,31.3216925,121.4419944,1
1,7,彭浦新村,31.3074959,121.4439,1
1,8,汶水路,31.2944979,121.4455635,1
1,9,上海马戏城,31.2818119,121.4472265,1
1,10,延长路,31.2732712,121.4506583,1
1,11,中山北路,31.2614875,121.4544335,1
1,12,上海火车站,31.2508215,121.45252913333333,3
1,13,汉中路,31.242974866666668,121.45413976666667,3
1,14,新闸路,31.2405396,121.4636428,1
1,15,人民广场,31.234641566666667,121.47043576666668,3
1,16,一大会址·黄陂南路,31.22532675,121.4686371,2
1,17,陕西南路,31.217837666666668,121.454672,3
1,18,常熟路,31.2149765,121.44561920000001,2
1,19,衡山路,31.2064633,121.4419144,1
1,20,徐家汇,31.196291966666667,121.4325491,3
1,21,上海体育馆,31.18431665,121.43230575,2
1,22,漕宝路,31.170248649999998,121.42967379999999,2
1,23,上海南站,31.156812033333335,121.42572306666666,3
1,24,锦江乐园,31.1440955,121.4094802,1
1,25,莲花路,31.1328778,121.3982456,1
1,26,外环路,31.1228133,121.3883592,1
1,27,莘庄,31.113007,121.38069715,2
9,0,上海松江站,30.9864446,121.2266151,1
9,1,醉白池,31.0028368,121.224526,1
9,2,松江体育中心,31.0179935,121.2262839,1
9,3,松江新城,31.0322106,121.2262996,1
9,4,松江大学城,31.0567667,121.2282186,1
9,5,洞泾,31.0870874,121.2261127,1
9,6,佘山,31.1068028,121.2253423,1
9,7,泗泾,31.1204413,121.25656,1
9,8,九亭,31.1393187,121.315047,1
9,9,中春路,31.1513157,121.3333435,1
9,10,七宝,31.1573896,121.3451869,1
9,11,星中路,31.1599404,121.3640715,1
9,12,合川路,31.1683763,121.3801522,1
9,13,漕河泾开发区,31.1724533,121.3932779,1
9,14,桂林路,31.177257750000003,121.41262625,2
9,15,宜山路,31.188095175,121.4227051,3
9,16,徐家汇,31.196291966666667,121.4325491,3
9,17,肇嘉浜路,31.20125195,121.4458501,2
9,18,嘉善路,31.204450100000003,121.45639875,2
9,19,打浦桥,31.2082185,121.4640135,1
9,20,马当路,31.211471250000002,121.47190495000001,2
9,21,陆家浜路,31.21385255,121.48131384999999,2
9,22,小南门,31.2190057,121.4940871,1
9,23,商城路,31.2323077,121.5118575,1
9,24,世纪大道,31.230755425,121.522746,4
9,25,杨高中路,31.2289211,121.54437615,2
9,26,芳甸路,31.2343776,121.5544342,1
9,27,蓝天路,31.24308775,121.5738021,2
9,28,台儿庄路,31.2546642,121.5929494,1
9,29,金桥,31.2630973,121.6072301,1
9,30,金海路,31.2658032,121.63475385,2
9,31,顾唐路,31.2682411,121.6522792,1
9,32,民雷路,31.2704328,121.6638097,1
9,33,曹路,31.2732552,121.6785346,1
13,0,张江路,31.191392,121.6251953,1
13,1,学林路,31.1853256,121.6096352,1
13,2,中科路,31.1810257,121.5969064,1
13,3,华夏中路,31.177367699999998,121.5778538,2
13,4,莲溪路,31.17156435,121.5617687,2
13,5,陈春路,31.1773264,121.5537987,1
13,6,北蔡,31.1821553,121.5472374,1
13,7,下南路,31.1814018,121.5357295,1
13,8,华鹏路,31.1782915,121.5218918,1
13,9,东明路,31.1747993,121.5068164,2
13,10,成山路,31.1731197,121.49222094999999,2
13,11,长清路,31.17669975,121.48312010000001,2
13,12,世博大道,31.1846627,121.4799211,1
13,13,世博会博物馆,31.1992464,121.4771259,1
13,14,马当路,31.211471250000002,121.47190495000001,2
13,15,一大会址·新天地,31.21801765,121.4698958,2
13,16,淮海中路,31.2218636,121.4598571,1
13,17,南京西路,31.230587299999996,121.45626883333334,3
13,18,自然博物馆,31.2382599,121.4578682,1
13,19,汉中路,31.242974866666668,121.45413976666667,3
13,20,江宁路,31.2461627,121.4398399,1
13,21,长寿路,31.242187299999998,121.4336184,2
13,22,武宁路,31.2355791,121.4263038,2
13,23,隆德路,31.232359799999998,121.4189382,2
13,24,金沙江路,31.233768499999996,121.40815479999999,3
13,25,大渡河路,31.23444525,121.39047485,2
13,26,真北路,31.2340599,121.3775615,1
13,27,祁连山南路,31.2395103,121.3627051,1
13,28,丰庄,31.244304,121.3507184,1
13,29,金沙江西路,31.2430886,121.3306597,1
13,30,金运路,31.2429079,121.3166182,1
6,0,东方体育中心,31.155438133333334,121.47597863333333,3
6,1,灵岩南路,31.1507549,121.4908101,1
6,2,上南路,31.1511766,121.5019956,1
6,3,华夏西路,31.151974,121.51032,1
6,4,高青路,31.1614994,121.5113226,1
6,5,东明路,31.1747993,121.5068164,2
6,6,高科西路,31.18766495,121.50586055,2
6,7,临沂新村,31.195787,121.5131727,1
6,8,上海儿童医学中心,31.2061387,121.519567,1
6,9,蓝村路,31.21405705,121.52378215,2
6,10,浦电路,31.2226916,121.5244594,1
6,11,世纪大道,31.230755425,121.522746,4
6,12,源深体育中心,31.2350191,121.5299034,1
6,13,民生路,31.2377143,121.5404504,2
6,14,北洋泾路,31.2411512,121.5478075,1
6,15,德平路,31.2476955,121.5602651,1
6,16,云山路,31.252680599999998,121.56737235,2
6,17,金桥路,31.2593106,121.5776109,1
6,18,博兴路,31.2661344,121.5826719,1
6,19,五莲路,31.2744761,121.5838006,1
6,20,巨峰路,31.2827067,121.58473085,2
6,21,东靖路,31.2931876,121.5846691,1
6,22,五洲大道,31.305072,121.5851459,1
6,23,洲海路,31.3147563,121.5852282,1
6,24,外高桥保税区南,31.3240926,121.5975778,1
6,25,航津路,31.3378199,121.5896358,1
6,26,外高桥保税区北,31.3502815,121.5826019,1
6,27,港城路,31.3552629,121.5707025,2
5,0,奉贤新城,30.9167642,121.4914806,1
5,1,金海湖,30.9315536,121.4876194,1
5,2,望园路,30.9344565,121.4792452,1
5,3,环城东路,30.9329791,121.4583558,1
5,4,奉浦大道,30.9447808,121.4443214,1
5,5,萧塘,30.9681757,121.437324,1
5,6,西渡,30.9915646,121.4277126,1
5,7,江川路,31.0077355,121.4186433,1
5,8,东川路,31.0205621,121.4152685,1
5,9,剑川路,31.0287732,121.4118212,1
5,10,北桥,31.0473809,121.405322,1
5,11,颛桥,31.0692574,121.397115,1
5,12,银都路,31.091592,121.3854682,1
5,13,春申路,31.1004712,121.3809929,1
5,14,莘庄,31.113007,121.38069715,2
16,0,滴水湖,30.9098666,121.9251715,1
16,1,临港大道,30.9261249,121.9064328,1
16,2,野生动物园,31.0524644,121.6940938,1
16,3,新场,31.0477439,121.6439898,1
16,4,航头东,31.0579029,121.6130944,1
16,5,鹤沙航城,31.0806608,121.6069539,1
16,6,周浦东,31.1129852,121.6026506,1
16,7,罗山路,31.15606245,121.58888385,2
16,8,华夏中路,31.177367699999998,121.5778538,2
16,9,龙阳路,31.204544125,121.55324625,4
12,0,七莘路,31.133715,121.3585682,1
12,1,虹莘路,31.1395514,121.3758293,1
12,2,顾戴路,31.14296,121.3875265,1
12,3,东兰路,31.1577116,121.3871732,1
12,4,虹梅路,31.1622381,121.392697,1
12,5,虹漕路,31.1662428,121.4061067,1
12,6,桂林公园,31.16962105,121.41426630000001,2
12,7,漕宝路,31.170248649999998,121.42967379999999,2
12,8,龙漕路,31.171376449999997,121.43945585,2
12,9,龙华,31.1757579,121.4484464,2
12,10,龙华中路,31.186095950000002,121.4523178,2
12,11,大木桥路,31.196053749999997,121.45912605000001,2
12,12,嘉善路,31.204450100000003,121.45639875,2
12,13,陕西南路,31.217837666666668,121.454672,3
12,14,南京西路,31.230587299999996,121.45626883333334,3
12,15,汉中路,31.242974866666668,121.45413976666667,3
12,16,曲阜路,31.2442942,121.4671223,2
12,17,天潼路,31.24576135,121.47790169999999,2
12,18,国际客运中心,31.2521208,121.4939755,1
12,19,提篮桥,31.255347,121.5022949,1
12,20,大连路,31.259703299999998,121.50875625,2
12,21,江浦公园,31.26689615,121.5192522,2
12,22,宁国路,31.2706622,121.5283174,1
12,23,隆昌路,31.2776103,121.5407282,1
12,24,爱国路,31.2819559,121.5482851,1
12,25,复兴岛,31.2830035,121.5569651,1
12,26,东陆路,31.2846637,121.5746455,1
12,27,巨峰路,31.2827067,121.58473085,2
12,28,杨高北路,31.2821858,121.5987071,1
12,29,金京路,31.2818459,121.6107893,1
12,30,申江路,31.2822916,121.6226109,1
12,31,金海路,31.2658032,121.63475385,2
11,0,迪士尼,31.1431699,121.6630897,1
11,1,康新公路,31.1327057,121.6129339,1
11,2,秀沿路,31.1409666,121.5939919,1
11,3,罗山路,31.15606245,121.58888385,2
11,4,御桥,31.16121735,121.56727575,2
11,5,康恒路,31.1564631,121.5492865,1
11,6,浦三路,31.1532165,121.5350476,1
11,7,三林东,31.148666,121.5188667,1
11,8,三林,31.1454212,121.5079185,1
11,9,东方体育中心,31.155438133333334,121.47597863333333,3
11,10,龙耀路,31.1615123,121.4552046,1
11,11,云锦路,31.1695044,121.4538975,1
11,12,龙华,31.1757579,121.4484464,2
11,13,上海游泳馆,31.1812988,121.4367786,1
11,14,徐家汇,31.196291966666667,121.4325491,3
11,15,交通大学,31.2040778,121.43058945,2
11,16,江苏路,31.22150675,121.42664095,2
11,17,隆德路,31.232359799999998,121.4189382,2
11,18,曹杨路,31.241051900000002,121.413871975,4
11,19,枫桥路,31.2443645,121.4057363,1
11,20,真如,31.25262275,121.40229074999999,2
11,21,上海西站,31.2649164,121.3963129,2
11,22,李子园,31.2708886,121.3853621,1
11,23,祁连山路,31.2734605,121.3722253,1
11,24,武威路,31.278922,121.3597312,1
11,25,桃浦新村,31.2835095,121.3450753,1
11,26,南翔,31.2990636,121.3179658,1
11,27,陈翔公路,31.3089729,121.3018789,1
11,28,马陆,31.3214234,121.2716891,1
11,29,嘉定新城,31.3326357,121.2495582,1
11,30,上海赛车场,31.333935,121.2216887,1
11,31,昌吉东路,31.2951195,121.1953078,1
11,32,上海汽车城,31.2874687,121.1755689,1
11,33,安亭,31.2904336,121.1567748,1
2,0,浦东1号2号航站楼,31.1524856,121.8019058,1
2,1,海天三路,31.1711359,121.7922919,1
2,2,远东大道,31.2014449,121.7503144,1
2,3,凌空路,31.1948473,121.7195047,1
2,4,川沙,31.1887789,121.6936789,1
2,5,华夏东路,31.1988609,121.6767325,1
2,6,创新中路,31.2155538,121.6698319,1
2,7,唐镇,31.2164014,121.6518611,1
2,8,广兰路,31.2131422,121.6168761,1
2,9,金科路,31.2064247,121.5978303,1
