name,district,level,type
上海市黄浦区民办百灵鸟幼儿园,黄浦区,幼儿园,民办
上海市黄浦区重北托儿所,黄浦区,幼儿园,民办
上海市黄浦民办海贝儿托儿所,黄浦区,幼儿园,民办
上海黄浦区民办小苹果幼儿园,黄浦区,幼儿园,民办
上海黄浦区民办徐家汇路幼儿园,黄浦区,幼儿园,民办
上海黄浦区民办明日星幼儿园,黄浦区,幼儿园,民办
上海黄浦区民办长颈鹿幼儿园,黄浦区,幼儿园,民办
上海民办永昌学校,黄浦区,九年一贯制,民办
上海市民办明珠中学,黄浦区,初中,民办
上海市民办立达中学,黄浦区,初中,民办
上海市震旦外国语中学,黄浦区,初中,民办
上海康德双语实验学校,黄浦区,十二年一贯制,民办
上海市徐汇区上中托儿所,徐汇区,幼儿园,民办
上海市徐汇区培蕾幼稚园,徐汇区,幼儿园,民办
上海市徐汇区康乐托儿所,徐汇区,幼儿园,民办
上海市徐汇区新宜幼稚园,徐汇区,幼儿园,民办
上海市徐汇区民办东泉大地幼儿园,徐汇区,幼儿园,民办
上海市徐汇区民办凯琴数码幼儿园,徐汇区,幼儿园,民办
上海市徐汇区民办田林街道中心幼儿园,徐汇区,幼儿园,民办
上海市徐汇区汇城苑幼稚园,徐汇区,幼儿园,民办
上海市徐汇区漕河泾新汇幼儿园,徐汇区,幼儿园,民办
上海市徐汇区陇龙幼稚园,徐汇区,幼儿园,民办
上海市徐汇区鲁浦幼儿园,徐汇区,幼儿园,民办
上海徐汇区民办康童云锦幼儿园,徐汇区,幼儿园,民办
上海徐汇区民办金贝贝幼儿园,徐汇区,幼儿园,民办
上海市世外小学,徐汇区,小学,民办
上海市爱菊小学,徐汇区,小学,民办
上海市盛大花园小学,徐汇区,小学,民办
上海市逸夫小学,徐汇区,小学,民办
上海市华育中学,徐汇区,初中,民办
上海市民办南模中学,徐汇区,初中,民办
上海民办位育中学,徐汇区,初中,民办
上海市世外中学,徐汇区,完全中学,民办
上海市西南位育中学,徐汇区,完全中学,民办
上海市西南模范中学,徐汇区,完全中学,民办
上海市民办西南高级中学,徐汇区,高中,民办
上海东展幼儿园,长宁区,幼儿园,民办
上海临空豪葳幼儿园,长宁区,幼儿园,民办
上海哈比桥治幼儿园,长宁区,幼儿园,民办
上海康文龙溪幼儿园,长宁区,幼儿园,民办
上海格林菲尔幼儿园,长宁区,幼儿园,民办
上海贝尔幼稚园,长宁区,幼儿园,民办
上海市民办东展小学,长宁区,小学,民办
上海市民办新世纪小学,长宁区,小学,民办
上海市民办新世纪中学,长宁区,初中,民办
上海市民办新虹桥中学,长宁区,完全中学,民办
上海博可思幼儿园,静安区,幼儿园,民办
上海市广玉兰幼儿园,静安区,幼儿园,民办
上海市静安区好时光—大拇指幼儿园,静安区,幼儿园,民办
上海市静安区民办安蒙幼儿园,静安区,幼儿园,民办
上海市静安区民办小小虎幼稚园,静安区,幼儿园,民办
上海市静安区民办育华幼儿园,静安区,幼儿园,民办
上海市静安区灵博幼儿园,静安区,幼儿园,民办
上海市静安区爱迪儿幼儿园,静安区,幼儿园,民办
上海进才幼儿园有限公司,静安区,幼儿园,民办
上海静安区吉的堡永盛幼儿园,静安区,幼儿园,民办
上海静安区民办大宁学佳幼儿园,静安区,幼儿园,民办
上海静安区震旦幼儿园,静安区,幼儿园,民办
上海静安民办伊恩幼儿园,静安区,幼儿园,民办
民办上海上外静安外国语小学,静安区,小学,民办
民办彭浦实验小学,静安区,小学,民办
民办扬波外国语小学,静安区,小学,民办
民办童园(实验)小学,静安区,小学,民办
上海上外静安外国语中学,静安区,初中,民办
上海市民办扬波中学,静安区,完全中学,民办
上海市民办新和中学,静安区,完全中学,民办
上海市民办风范中学,静安区,完全中学,民办
上海田家炳中学,静安区,完全中学,民办
上海金洲小学,普陀区,小学,民办
上海市民办新黄浦实验学校,普陀区,九年一贯制,民办
上海兰田中学,普陀区,初中,民办
上海华东师范大学附属进华中学,普陀区,完全中学,民办
上海培佳双语学校,普陀区,十二年一贯制,民办
上海安生学校,普陀区,十二年一贯制,民办
上海市白玉兰幼儿园,虹口区,幼儿园,民办
上海市虹口区刘诗昆幼儿园,虹口区,幼儿园,民办
上海市虹口好春光幼儿园,虹口区,幼儿园,民办
上海瑞虹幼儿园,虹口区,幼儿园,民办
上海虹口区四叶草幼儿园,虹口区,幼儿园,民办
上海虹口区小金星幼儿园,虹口区,幼儿园,民办
