name,district,type,ownership
上海江城皮肤病医院,杨浦,皮肤病医院,民营
上海宏康医院,普陀,综合医院,民营
上海医大医院,青浦,综合医院,民营
上海伽玛医院,徐汇,其他专科医院,民营
上海百佳妇产医院,闵行,妇产（科）医院,民营
上海慈源康复医院,嘉定,康复医院,民营
上海摩尔星象口腔医院,静安,口腔医院,民营
上海爱尔松辰眼科医院,松江,眼科医院,民营
上海摩尔同乐口腔医院,闵行,口腔医院,民营
上海普瑞宝视眼科医院,宝山,眼科医院,民营
上海亦星中西医结合医院,松江,中西医结合医院,民营
上海百汇医院,闵行,综合医院,民营
上海协华脑科医院,闵行,其他专科医院,民营
上海泰康拜博口腔医院,黄浦,口腔医院,民营
上海和睦家医院,长宁,综合医院,民营
上海伯曼口腔医院,静安,口腔医院,民营
上海圣娅医疗美容医院,青浦,美容医院,民营
上海协爱栋安中医医院,宝山,中医（综合）医院,民营
上海申养康复医院,闵行,康复医院,民营
上海览海康复医院,闵行,康复医院,民营
上海同康医院,闵行,综合医院,民营
上海禾新医院,徐汇,综合医院,民营
上海摩尔星汇口腔医院,徐汇,口腔医院,民营
上海新道培血液病医院,闵行,血液病医院,民营
上海协爱康安中医医院,崇明,中医（综合）医院,民营
上海誉华康复医院,青浦,康复医院,民营
上海孟超肿瘤医院,嘉定,肿瘤医院,民营
上海好望角医院,静安,综合医院,民营
上海泰康申园康复医院,松江,康复医院,民营
上海天宸康复医院,闵行,康复医院,民营
上海摩尔口腔医院,普陀,口腔医院,民营
上海星晨儿童医院,闵行,儿童医院,民营
上海摩尔星康口腔医院,黄浦,口腔医院,民营
上海华尔康星杰口腔医院,普陀,口腔医院,民营
上海雅乐福口腔医院,宝山,口腔医院,民营
上海华尔康中博口腔医院,青浦,口腔医院,民营
上海尤旦沪利口腔医院,奉贤,口腔医院,民营
上海助医互联网医院,普陀,综合医院,民营
上海冬雷脑科医院,青浦,其他专科医院,民营
上海摩尔星松口腔医院,松江,口腔医院,民营
上海广慈纪念医院,黄浦,综合医院,民营
上海康奥医疗美容医院,静安,美容医院,民营
上海平安好医生八院互联网医院,徐汇,综合医院,民营
上海蓝生德佑医院,长宁,综合医院,民营
上海兰公馆康复医院,奉贤,康复医院,民营
上海摩尔星华口腔医院,宝山,口腔医院,民营
上海德达心血管医院,青浦,心血管病医院,民营
上海美华妇儿医院,徐汇,其他专科医院,民营
上海曼领医疗美容医院,闵行,美容医院,民营
上海摩尔星浦口腔医院,青浦,口腔医院,民营
上海摩尔星嘉口腔医院,嘉定,口腔医院,民营
上海同合骨科医院,嘉定,骨科医院,民营
上海名士汇互联网医院,黄浦,综合医院,民营
上海普瑞眼科医院,长宁,眼科医院,民营
上海和睦家新睦妇儿医院,静安,妇产（科）医院,民营
上海雅洁口腔医院,杨浦,口腔医院,民营
上海禾滨康复医院,青浦,康复医院,民营
上海安祐中医医院,宝山,中医（综合）医院,民营
上海九和堂中医医院,金山,中医（综合）医院,民营
上海申洁口腔医院,静安,口腔医院,民营
上海博爱医院,徐汇,综合医院,民营
上海新起点康复医院,闵行,康复医院,民营
上海尤旦嘉昇口腔医院,杨浦,口腔医院,民营
上海东广康复医院,嘉定,康复医院,民营
上海合川莱茵中医医院,闵行,中医（综合）医院,民营
上海爱尔眼科医院,徐汇,眼科医院,民营
上海曲阳医院,虹口,综合医院,民营
上海希玛瑞视眼科医院,黄浦,眼科医院,民营
上海壹博医院,奉贤,综合医院,民营
上海华尔康中博普众口腔医院,普陀,口腔医院,民营
上海天佑医院,普陀,综合医院,民营
上海慈弘妇产科医院,闵行,妇产（科）医院,民营
上海华齿尚荟口腔医院,徐汇,口腔医院,民营
上海嘉进医院,黄浦,综合医院,民营
上海博厚口腔医院,静安,口腔医院,民营
上海祥瑞康复医院,闵行,康复医院,民营
上海清河湾康复医院,青浦,康复医院,民营
上海海华医院,嘉定,综合医院,民营
上海高博肿瘤医院,浦东,肿瘤医院,民营
上海明州甬嘉康复医院,嘉定,康复医院,民营
上海时光整形外科医院,黄浦,整形外科医院,民营
上海首尔丽格医疗美容医院,杨浦,美容医院,民营
上海爱以德协通嘉泽康复医院,嘉定,康复医院,民营
上海嘉会国际医院,徐汇,综合医院,民营
上海上实医疗美容医院,黄浦,美容医院,民营
上海进康肿瘤医院,闵行,肿瘤医院,民营
上海一康康复医院,徐汇,康复医院,民营
上海广慈太保互联网医院,黄浦,综合医院,民营
上海永慈康复医院,闵行,康复医院,民营
上海协爱泽安中医医院,嘉定,中医（综合）医院,民营
上海泰康拜博淞耀口腔医院,杨浦,口腔医院,民营
上海中大肿瘤医院,虹口,肿瘤医院,民营
上海协爱中医医院,奉贤,中医（综合）医院,民营
上海德济医院,普陀,综合医院,民营
上海新瞳眼科医院,黄浦,眼科医院,民营
上海中博惠众口腔医院,金山,口腔医院,民营
上海摩尔星贤口腔医院,奉贤,口腔医院,民营
上海新视界中兴眼科医院,静安,眼科医院,民营
上海商赢互联网医院,徐汇,妇产（科）医院,民营
上海普瑞尚视眼科医院,奉贤,眼科医院,民营
上海光正新视界瞳亮眼科医院,崇明,眼科医院,民营
上海爱以德协通嘉宁精神病医院,嘉定,精神病医院,民营
上海尤旦口腔医院,宝山,口腔医院,民营
上海爱尔新嘉眼科医院,嘉定,眼科医院,民营
上海爱尔清亮眼科医院,青浦,眼科医院,民营
上海蓝十字脑科医院,闵行,其他专科医院,民营
上海美兰湖妇产科医院,宝山,妇产（科）医院,民营
上海沪闵医院,闵行,综合医院,民营
上海赫尔森康复医院,松江,康复医院,民营
上海东慧口腔医院,金山,口腔医院,民营
上海爱尔睛亮眼科医院,金山,眼科医院,民营
上海嘉华医院,嘉定,综合医院,民营
上海华佑自愿戒毒康复医院,奉贤,康复医院,民营
上海健嘉康复医院,静安,康复医院,民营
上海生命树医疗美容医院,长宁,美容医院,民营
